------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         2.73112e-19,                0.005
         3.13697e-19,            0.0053125
         3.59133e-19,             0.005625
         4.09957e-19,            0.0059375
         4.66764e-19,              0.00625
         5.30212e-19,            0.0065625
         6.01033e-19,             0.006875
         6.80035e-19,            0.0071875
         7.68113e-19,               0.0075
          8.6626e-19,            0.0078125
         9.75573e-19,             0.008125
         1.09727e-18,            0.0084375
          1.2327e-18,              0.00875
         1.38335e-18,            0.0090625
         1.55087e-18,             0.009375
         1.73709e-18,            0.0096875
         1.94405e-18,                 0.01
         2.17398e-18,            0.0103125
         2.42938e-18,             0.010625
         2.71299e-18,            0.0109375
         3.02786e-18,              0.01125
         3.37739e-18,            0.0115625
          3.7653e-18,             0.011875
         4.19575e-18,            0.0121875
         4.67335e-18,               0.0125
         5.20318e-18,            0.0128125
         5.79089e-18,             0.013125
         6.44275e-18,            0.0134375
         7.16569e-18,              0.01375
         7.96741e-18,            0.0140625
         8.85645e-18,             0.014375
         9.84227e-18,            0.0146875
         1.09354e-17,                0.015
         1.21474e-17,            0.0153125
         1.34912e-17,             0.015625
         1.49812e-17,            0.0159375
         1.66334e-17,              0.01625
         1.84652e-17,            0.0165625
         2.04964e-17,             0.016875
         2.27488e-17,            0.0171875
         2.52464e-17,               0.0175
         2.80162e-17,            0.0178125
          3.1088e-17,             0.018125
         3.44949e-17,            0.0184375
         3.82738e-17,              0.01875
         4.24656e-17,            0.0190625
          4.7116e-17,             0.019375
         5.22754e-17,            0.0196875
         5.80003e-17,                 0.02
         6.43533e-17,            0.0203125
         7.14042e-17,             0.020625
         7.92305e-17,            0.0209375
         8.79187e-17,              0.02125
          9.7565e-17,            0.0215625
         1.08276e-16,             0.021875
         1.20173e-16,            0.0221875
         1.33387e-16,               0.0225
         1.48066e-16,            0.0228125
         1.64378e-16,             0.023125
         1.82505e-16,            0.0234375
         2.02653e-16,              0.02375
         2.25052e-16,            0.0240625
         2.49959e-16,             0.024375
         2.77658e-16,            0.0246875
          3.0847e-16,                0.025
         3.42751e-16,            0.0253125
           3.809e-16,             0.025625
         4.23363e-16,            0.0259375
         4.70637e-16,              0.02625
          5.2328e-16,            0.0265625
         5.81915e-16,             0.026875
         6.47239e-16,            0.0271875
         7.20034e-16,               0.0275
         8.01174e-16,            0.0278125
         8.91638e-16,             0.028125
         9.92525e-16,            0.0284375
         1.10506e-15,              0.02875
         1.23063e-15,            0.0290625
         1.37079e-15,             0.029375
         1.52725e-15,            0.0296875
         1.70199e-15,                 0.03
         1.89717e-15,            0.0303125
         2.11528e-15,             0.030625
         2.35905e-15,            0.0309375
         2.63162e-15,              0.03125
         2.93646e-15,            0.0315625
         3.27751e-15,             0.031875
          3.6592e-15,            0.0321875
          4.0865e-15,               0.0325
         4.56502e-15,            0.0328125
          5.1011e-15,             0.033125
         5.70186e-15,            0.0334375
         6.37534e-15,              0.03375
         7.13062e-15,            0.0340625
         7.97794e-15,             0.034375
         8.92886e-15,            0.0346875
         9.99645e-15,                0.035
         1.11955e-14,            0.0353125
         1.25427e-14,             0.035625
          1.4057e-14,            0.0359375
         1.57597e-14,              0.03625
         1.76751e-14,            0.0365625
         1.98306e-14,             0.036875
         2.22575e-14,            0.0371875
         2.49909e-14,               0.0375
          2.8071e-14,            0.0378125
         3.15432e-14,             0.038125
         3.54592e-14,            0.0384375
         3.98778e-14,              0.03875
         4.48658e-14,            0.0390625
         5.04991e-14,             0.039375
         5.68643e-14,            0.0396875
           6.406e-14,                 0.04
         7.21985e-14,            0.0403125
         8.14079e-14,             0.040625
         9.18345e-14,            0.0409375
         1.03645e-13,              0.04125
         1.17031e-13,            0.0415625
         1.32209e-13,             0.041875
         1.49429e-13,            0.0421875
         1.68978e-13,               0.0425
         1.91181e-13,            0.0428125
         2.16414e-13,             0.043125
         2.45107e-13,            0.0434375
         2.77753e-13,              0.04375
         3.14918e-13,            0.0440625
         3.57255e-13,             0.044375
         4.05512e-13,            0.0446875
         4.60551e-13,                0.045
         5.23367e-13,            0.0453125
         5.95102e-13,             0.045625
         6.77079e-13,            0.0459375
         7.70822e-13,              0.04625
         8.78091e-13,            0.0465625
         1.00092e-12,             0.046875
         1.14168e-12,            0.0471875
         1.30308e-12,               0.0475
         1.48831e-12,            0.0478125
         1.70101e-12,             0.048125
         1.94547e-12,            0.0484375
         2.22663e-12,              0.04875
         2.55026e-12,            0.0490625
         2.92306e-12,             0.049375
         3.35286e-12,            0.0496875
         3.84879e-12,                 0.05
         4.42148e-12,            0.0503125
          5.0834e-12,             0.050625
         5.84911e-12,            0.0509375
         6.73567e-12,              0.05125
         7.76308e-12,            0.0515625
         8.95482e-12,             0.051875
         1.03385e-11,            0.0521875
         1.19465e-11,               0.0525
         1.38171e-11,            0.0528125
         1.59953e-11,             0.053125
         1.85343e-11,            0.0534375
         2.14969e-11,              0.05375
         2.49575e-11,            0.0540625
         2.90042e-11,             0.054375
         3.37414e-11,            0.0546875
         3.92934e-11,                0.055
         4.58076e-11,            0.0553125
         5.34599e-11,             0.055625
         6.24601e-11,            0.0559375
