------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.00508e-05,                0.005
         1.31212e-05,              0.00625
         1.64502e-05,               0.0075
         2.00578e-05,              0.00875
         2.39662e-05,                 0.01
         2.81991e-05,              0.01125
         3.27824e-05,               0.0125
         3.77443e-05,              0.01375
         4.31151e-05,                0.015
         4.89281e-05,              0.01625
         5.52195e-05,               0.0175
         6.93985e-05,                 0.02
         8.60119e-05,               0.0225
         0.000105489,                0.025
         0.000128345,               0.0275
         0.000155198,                 0.03
         0.000186797,               0.0325
         0.000224048,                0.035
         0.000268061,               0.0375
         0.000320195,                 0.04
         0.000382128,               0.0425
         0.000455947,                0.045
         0.000544262,               0.0475
         0.000650364,                 0.05
         0.000778441,               0.0525
         0.000933866,                0.055
          0.00102394,              0.05625
          0.00112361,               0.0575
           0.0012341,              0.05875
           0.0013568,                 0.06
          0.00149333,              0.06125
          0.00164557,               0.0625
          0.00181569,              0.06375
          0.00200624,                0.065
          0.00222021,              0.06625
          0.00246112,               0.0675
          0.00273314,              0.06875
          0.00304123,                 0.07
          0.00339132,              0.07125
          0.00379054,               0.0725
          0.00424755,              0.07375
          0.00477286,                0.075
          0.00537939,              0.07625
           0.0060831,               0.0775
          0.00690389,              0.07875
          0.00786677,                 0.08
          0.00900351,              0.08125
           0.0103549,               0.0825
           0.0119738,              0.08375
           0.0139299,                0.085
           0.0163158,              0.08625
           0.0177075,             0.086875
           0.0192571,               0.0875
           0.0209878,             0.088125
           0.0229269,              0.08875
           0.0251073,             0.089375
            0.027568,                 0.09
           0.0303561,             0.090625
           0.0335287,              0.09125
           0.0371551,             0.091875
           0.0413207,               0.0925
           0.0461307,             0.093125
           0.0517161,              0.09375
           0.0582416,             0.094375
           0.0659153,                0.095
           0.0750028,             0.095625
           0.0858461,              0.09625
           0.0988894,             0.096875
            0.114714,               0.0975
            0.134088,             0.098125
            0.145412,            0.0984375
            0.158028,              0.09875
            0.172118,            0.0990625
            0.187889,             0.099375
            0.205578,            0.0996875
            0.225458,                  0.1
            0.247839,             0.100312
            0.273067,             0.100625
            0.301525,             0.100938
            0.333623,              0.10125
            0.369789,             0.101562
            0.410434,             0.101875
            0.455907,             0.102188
            0.506427,               0.1025
            0.561968,             0.102813
            0.622119,             0.103125
            0.751605,              0.10375
            0.816613,             0.104063
            0.877447,             0.104375
            0.929987,             0.104688
            0.970005,                0.105
            0.993933,             0.105313
            0.999647,             0.105625
            0.986966,             0.105938
            0.957666,              0.10625
            0.914994,             0.106563
            0.862919,             0.106875
            0.805389,             0.107188
            0.745816,               0.1075
            0.630238,             0.108125
            0.528186,              0.10875
             0.44299,             0.109375
            0.373689,                 0.11
            0.317838,             0.110625
             0.27283,              0.11125
            0.236384,             0.111875
            0.206655,               0.1125
            0.182199,             0.113125
            0.161903,              0.11375
            0.144911,             0.114375
            0.130567,                0.115
             0.11836,             0.115625
            0.107894,              0.11625
           0.0988579,             0.116875
           0.0910049,               0.1175
           0.0841388,             0.118125
           0.0781014,              0.11875
           0.0727648,             0.119375
           0.0680246,                 0.12
           0.0600044,              0.12125
            0.053515,               0.1225
           0.0481879,              0.12375
           0.0437592,                0.125
           0.0400359,              0.12625
           0.0368746,               0.1275
           0.0341665,              0.12875
           0.0318284,                 0.13
           0.0297952,              0.13125
           0.0280159,               0.1325
           0.0264499,              0.13375
           0.0250643,                0.135
            0.022733,               0.1375
           0.0208611,                 0.14
           0.0193379,               0.1425
           0.0180846,                0.145
           0.0170443,               0.1475
           0.0161748,                 0.15
           0.0154444,               0.1525
           0.0148288,                0.155
           0.0138705,                 0.16
           0.0131923,                0.165
           0.0127254,                 0.17
           0.0124245,                0.175
           0.0122593,                 0.18
           0.0122095,                0.185
           0.0122612,                 0.19
           0.0124056,                0.195
           0.0126375,                  0.2
           0.0129546,                0.205
           0.0133569,                 0.21
           0.0138464,                0.215
           0.0144274,                 0.22
           0.0151056,                0.225
            0.015889,                 0.23
           0.0167876,                0.235
           0.0178135,                 0.24
           0.0189818,                0.245
           0.0203102,                 0.25
           0.0218202,                0.255
           0.0235375,                 0.26
           0.0254927,                0.265
           0.0277225,                 0.27
           0.0302711,                0.275
           0.0331917,                 0.28
           0.0365488,                0.285
           0.0404209,                 0.29
           0.0449036,                0.295
           0.0501147,                  0.3
           0.0561993,                0.305
           0.0633379,                 0.31
           0.0717554,                0.315
           0.0817341,                 0.32
           0.0936301,                0.325
            0.107894,                 0.33
            0.125097,                0.335
            0.145966,                 0.34
            0.171419,                0.345
             0.20261,                 0.35
            0.240959,                0.355
            0.288155,                 0.36
            0.346076,                0.365
            0.416535,                 0.37
              0.5007,                0.375
            0.598035,                 0.38
            0.704727,                0.385
             0.81213,                 0.39
            0.906656,                0.395
            0.972877,                  0.4
            0.999629,                0.405
            0.985263,                 0.41
            0.937696,                0.415
             0.86963,                 0.42
            0.793182,                0.425
            0.717051,                 0.43
             0.64623,                0.435
            0.582922,                 0.44
            0.527619,                0.445
            0.479921,                 0.45
            0.439044,                0.455
            0.404097,                 0.46
            0.374223,                0.465
            0.348656,                 0.47
            0.326734,                0.475
              0.3079,                 0.48
            0.291688,                0.485
            0.277715,                 0.49
            0.265661,                0.495
            0.255262,                  0.5
            0.246299,                0.505
            0.238592,                 0.51
             0.23199,                0.515
            0.226366,                 0.52
            0.221617,                0.525
            0.217654,                 0.53
            0.214404,                0.535
            0.211805,                 0.54
            0.209806,                0.545
            0.208365,                 0.55
            0.207445,                0.555
            0.207018,                 0.56
            0.207059,                0.565
             0.20755,                 0.57
            0.208475,                0.575
            0.209824,                 0.58
            0.211588,                0.585
            0.213762,                 0.59
            0.216345,                0.595
            0.219336,                  0.6

