------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.40175e-09,                0.005
         1.65925e-09,             0.005625
         1.94013e-09,              0.00625
         2.24629e-09,             0.006875
         2.57972e-09,               0.0075
         2.94261e-09,             0.008125
         3.33731e-09,              0.00875
         3.76633e-09,             0.009375
         4.23242e-09,                 0.01
          4.7385e-09,             0.010625
         5.28775e-09,              0.01125
         6.52975e-09,               0.0125
         7.98917e-09,              0.01375
         9.70187e-09,                0.015
         1.17096e-08,              0.01625
         1.40612e-08,               0.0175
         1.68135e-08,              0.01875
         2.00329e-08,                 0.02
         2.37973e-08,              0.02125
         2.81975e-08,               0.0225
           3.334e-08,              0.02375
         3.93498e-08,                0.025
         4.63733e-08,              0.02625
         5.45829e-08,               0.0275
         6.41809e-08,              0.02875
         7.54059e-08,                 0.03
          8.8539e-08,              0.03125
         1.03912e-07,               0.0325
         1.21918e-07,              0.03375
         1.43021e-07,                0.035
         1.67772e-07,              0.03625
         1.96825e-07,               0.0375
         2.30959e-07,              0.03875
         2.71099e-07,                 0.04
         3.18353e-07,              0.04125
         3.74042e-07,               0.0425
         4.39752e-07,              0.04375
         5.17385e-07,                0.045
         6.09229e-07,              0.04625
         7.18041e-07,               0.0475
         8.47154e-07,              0.04875
          1.0006e-06,                 0.05
         1.18329e-06,              0.05125
         1.40118e-06,               0.0525
         1.66155e-06,              0.05375
         1.97331e-06,                0.055
         2.34739e-06,              0.05625
         2.79728e-06,               0.0575
         3.33962e-06,              0.05875
         3.99503e-06,                 0.06
         4.78919e-06,              0.06125
         5.75417e-06,               0.0625
         6.93017e-06,              0.06375
         8.36785e-06,                0.065
          9.2042e-06,             0.065625
         1.01312e-05,              0.06625
         1.11597e-05,             0.066875
         1.23018e-05,               0.0675
         1.35711e-05,             0.068125
         1.49834e-05,              0.06875
         1.65562e-05,             0.069375
         1.83097e-05,                 0.07
         2.02666e-05,             0.070625
         2.24531e-05,              0.07125
         2.48988e-05,             0.071875
         2.76377e-05,               0.0725
         3.07087e-05,             0.073125
         3.41565e-05,              0.07375
         3.80324e-05,             0.074375
         4.23955e-05,                0.075
         4.73138e-05,             0.075625
         5.28664e-05,              0.07625
         5.91444e-05,             0.076875
         6.62539e-05,               0.0775
         7.43183e-05,             0.078125
         8.34814e-05,              0.07875
         9.39118e-05,             0.079375
         0.000105807,                 0.08
         0.000119398,             0.080625
         0.000134959,              0.08125
         0.000152814,             0.081875
         0.000173346,               0.0825
         0.000197012,             0.083125
         0.000224356,              0.08375
         0.000256033,             0.084375
         0.000292829,                0.085
         0.000335693,             0.085625
         0.000385777,              0.08625
         0.000444485,             0.086875
         0.000513535,               0.0875
         0.000595044,             0.088125
         0.000691629,              0.08875
         0.000806547,             0.089375
          0.00094388,                 0.09
          0.00110877,             0.090625
          0.00130776,              0.09125
          0.00154919,             0.091875
          0.00184388,               0.0925
          0.00201542,            0.0928125
          0.00220586,             0.093125
          0.00241766,            0.0934375
          0.00265364,              0.09375
          0.00291708,            0.0940625
          0.00321179,             0.094375
          0.00354219,            0.0946875
          0.00391342,                0.095
          0.00433154,            0.0953125
          0.00480365,             0.095625
          0.00533814,            0.0959375
          0.00594493,              0.09625
          0.00663586,            0.0965625
          0.00742508,             0.096875
          0.00832957,            0.0971875
          0.00936986,               0.0975
           0.0105709,            0.0978125
           0.0119631,             0.098125
           0.0135839,            0.0984375
           0.0154796,              0.09875
           0.0177079,            0.0990625
           0.0203413,             0.099375
           0.0234713,            0.0996875
            0.027215,                  0.1
           0.0317227,             0.100312
           0.0371903,             0.100625
           0.0438746,             0.100938
           0.0477754,             0.101094
           0.0521162,              0.10125
           0.0569581,             0.101406
            0.062372,             0.101562
           0.0684405,             0.101719
           0.0752604,             0.101875
           0.0829452,             0.102031
            0.091628,             0.102188
            0.101466,             0.102344
            0.112642,               0.1025
            0.125376,             0.102656
            0.139922,             0.102813
            0.156582,             0.102969
            0.175709,             0.103125
            0.197711,             0.103281
            0.223062,             0.103438
            0.252296,             0.103594
            0.286001,              0.10375
            0.324803,             0.103906
            0.369319,             0.104063
            0.420083,             0.104219
            0.477424,             0.104375
            0.541278,             0.104531
            0.610947,             0.104688
            0.684815,             0.104844
            0.760101,                0.105
            0.832783,             0.105156
            0.897857,             0.105313
             0.95004,             0.105469
            0.984819,             0.105625
            0.999527,             0.105781
            0.993967,             0.105938
            0.970323,             0.106094
            0.932424,              0.10625
            0.884752,             0.106406
            0.831573,             0.106563
            0.776414,             0.106719
            0.721876,             0.106875
            0.620837,             0.107188
            0.534795,               0.1075
            0.464122,             0.107813
            0.406894,             0.108125
            0.360688,             0.108438
            0.323276,              0.10875
            0.292818,             0.109063
            0.267862,             0.109375
            0.247283,             0.109687
            0.230216,                 0.11
            0.215993,             0.110313
            0.204098,             0.110625
            0.194128,             0.110937
            0.185771,              0.11125
            0.178776,             0.111563
            0.172948,             0.111875
            0.164196,               0.1125
            0.158602,             0.113125
            0.155579,              0.11375
            0.154764,             0.114375
            0.155944,                0.115
            0.159023,             0.115625
               0.164,              0.11625
            0.170959,             0.116875
            0.180062,               0.1175
            0.191561,             0.118125
              0.2058,              0.11875
            0.223235,             0.119375
             0.24445,                 0.12
             0.27018,             0.120625
            0.301327,              0.12125
            0.338971,             0.121875
            0.384345,               0.1225
            0.438746,             0.123125
            0.503305,              0.12375
            0.578542,             0.124375
            0.663582,                0.125
            0.755039,             0.125625
             0.84588,              0.12625
            0.925175,             0.126875
            0.980026,               0.1275
            0.999994,             0.128125
            0.981868,              0.12875
            0.931138,             0.129375
            0.858957,                 0.13
            0.777281,             0.130625
            0.695441,              0.13125
            0.619158,             0.131875
            0.551121,               0.1325
            0.492034,             0.133125
            0.441509,              0.13375
            0.398673,             0.134375
            0.362511,                0.135
            0.332037,             0.135625
             0.30637,              0.13625
            0.284757,             0.136875
            0.266571,               0.1375
            0.251294,             0.138125
            0.238506,              0.13875
            0.227869,             0.139375
            0.219109,                 0.14
            0.206405,              0.14125
            0.199189,               0.1425
            0.196818,              0.14375
            0.199108,                0.145
            0.206313,              0.14625
            0.211968,             0.146875
            0.219174,               0.1475
            0.228126,             0.148125
            0.239072,              0.14875
            0.252333,             0.149375
            0.268312,                 0.15
             0.28752,             0.150625
              0.3106,              0.15125
            0.338354,             0.151875
            0.371773,               0.1525
            0.412047,             0.153125
            0.460548,              0.15375
            0.518709,             0.154375
            0.587716,                0.155
            0.667816,             0.155625
            0.757032,              0.15625
            0.849203,             0.156875
             0.89282,             0.157187
             0.93205,               0.1575
            0.964447,             0.157813
            0.987509,             0.158125
            0.999013,             0.158438
            0.997395,              0.15875
             0.98207,             0.159062
            0.953595,             0.159375
            0.913601,             0.159687
            0.864513,                 0.16
            0.809152,             0.160313
            0.750336,             0.160625
            0.631844,              0.16125
            0.522883,             0.161875
            0.429537,               0.1625
            0.389118,             0.162813
            0.352685,             0.163125
            0.319973,             0.163438
            0.290678,              0.16375
            0.264478,             0.164062
            0.241059,             0.164375
            0.220123,             0.164687
            0.201392,                0.165
            0.184619,             0.165313
            0.169577,             0.165625
            0.143914,              0.16625
            0.123071,             0.166875
            0.106015,               0.1675
           0.0919513,             0.168125
           0.0802681,              0.16875
           0.0704917,             0.169375
            0.062254,                 0.17
           0.0552671,             0.170625
            0.049304,              0.17125
           0.0441851,             0.171875
           0.0397664,               0.1725
           0.0359326,             0.173125
           0.0325899,              0.17375
            0.029662,             0.174375
           0.0270865,                0.175
           0.0248118,             0.175625
           0.0227949,              0.17625
           0.0210003,             0.176875
           0.0193979,               0.1775
            0.016673,              0.17875
           0.0144609,                 0.18
           0.0126457,              0.18125
           0.0111415,               0.1825
          0.00988389,              0.18375
            0.008824,                0.185
          0.00792405,              0.18625
           0.0071547,               0.1875
          0.00649286,              0.18875
           0.0059202,                 0.19
          0.00542204,              0.19125
          0.00498653,               0.1925
          0.00460403,              0.19375
          0.00426664,                0.195
          0.00396785,              0.19625
          0.00370227,               0.1975
          0.00325337,                  0.2
          0.00289182,               0.2025
          0.00259743,                0.205
          0.00235546,               0.2075
          0.00215499,                 0.21
          0.00198778,               0.2125
          0.00184756,                0.215
          0.00172948,               0.2175
          0.00162979,                 0.22
           0.0015455,               0.2225
          0.00147427,                0.225
          0.00136384,                 0.23
          0.00128751,                0.235
          0.00123812,                 0.24
          0.00121105,                0.245
          0.00120343,                 0.25
          0.00121368,                0.255
          0.00124122,                 0.26
          0.00128633,                0.265
          0.00135013,                 0.27
          0.00143454,                0.275
          0.00154247,                 0.28
           0.0016779,                0.285
          0.00184622,                 0.29
           0.0020546,                0.295
          0.00231251,                  0.3
          0.00263259,                0.305
          0.00303167,                 0.31
          0.00326767,               0.3125
          0.00353252,                0.315
          0.00383036,               0.3175
          0.00416608,                 0.32
           0.0045454,               0.3225
          0.00497509,                0.325
          0.00546318,               0.3275
          0.00601925,                 0.33
          0.00665471,               0.3325
           0.0073833,                0.335
          0.00822157,               0.3375
          0.00918958,                 0.34
           0.0103117,               0.3425
           0.0116179,                0.345
           0.0131449,               0.3475
           0.0149382,                 0.35
           0.0170545,               0.3525
           0.0195646,                0.355
           0.0225582,               0.3575
           0.0261487,                 0.36
           0.0304813,               0.3625
           0.0357426,                0.365
           0.0421748,               0.3675
            0.045925,              0.36875
           0.0500934,                 0.37
            0.054735,              0.37125
           0.0599132,               0.3725
           0.0657007,              0.37375
           0.0721814,                0.375
           0.0794519,              0.37625
           0.0876235,               0.3775
           0.0968244,              0.37875
            0.107202,                 0.38
            0.118926,              0.38125
            0.132189,               0.3825
            0.147214,              0.38375
             0.16425,                0.385
            0.183578,              0.38625
            0.205508,               0.3875
            0.230378,              0.38875
            0.258546,                 0.39
            0.290373,              0.39125
            0.326208,               0.3925
            0.366348,              0.39375
             0.41099,                0.395
            0.460173,              0.39625
            0.513691,               0.3975
            0.631205,                  0.4
             0.75415,               0.4025
            0.866597,                0.405
            0.950527,               0.4075
            0.993966,                 0.41
            0.996558,               0.4125
            0.967815,                0.415
            0.920781,               0.4175
             0.86674,                 0.42
            0.813242,               0.4225
            0.764433,                0.425
            0.686802,                 0.43
            0.635965,                0.435
            0.608011,                 0.44
            0.598947,                0.445
            0.605899,                 0.45
            0.626979,                0.455
            0.660828,                 0.46
            0.706044,                0.465
            0.760533,                 0.47
            0.820832,                0.475
             0.88165,                 0.48
            0.936041,                0.485
            0.976613,                 0.49
            0.997633,                0.495
            0.997021,                  0.5

