------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         3.36887e-05,                0.005
          4.4114e-05,              0.00625
         5.54776e-05,               0.0075
         6.78587e-05,              0.00875
         8.13441e-05,                 0.01
         9.60282e-05,              0.01125
         0.000112014,               0.0125
         0.000129416,              0.01375
         0.000148356,                0.015
          0.00016897,              0.01625
         0.000191408,               0.0175
         0.000215831,              0.01875
         0.000242421,                 0.02
         0.000271373,              0.02125
         0.000302906,               0.0225
         0.000374696,                0.025
         0.000460027,               0.0275
         0.000561639,                 0.03
         0.000682909,               0.0325
         0.000828026,                0.035
          0.00100222,               0.0375
          0.00121205,                 0.04
          0.00146586,               0.0425
          0.00177429,                0.045
          0.00195312,              0.04625
          0.00215105,               0.0475
          0.00237045,              0.04875
          0.00261404,                 0.05
          0.00288495,              0.05125
          0.00318682,               0.0525
          0.00352382,              0.05375
          0.00390084,                0.055
          0.00432356,              0.05625
          0.00479866,               0.0575
          0.00533397,              0.05875
          0.00593876,                 0.06
          0.00662404,              0.06125
          0.00740293,               0.0625
          0.00829118,              0.06375
          0.00930779,                0.065
           0.0104758,              0.06625
           0.0118234,               0.0675
           0.0133852,              0.06875
           0.0152041,                 0.07
           0.0173337,              0.07125
           0.0198416,               0.0725
           0.0228135,              0.07375
           0.0263598,                0.075
           0.0306234,              0.07625
           0.0357921,               0.0775
           0.0421157,              0.07875
           0.0458113,             0.079375
           0.0499302,                 0.08
            0.054534,             0.080625
            0.059695,              0.08125
           0.0654988,             0.081875
           0.0720467,               0.0825
           0.0794595,             0.083125
           0.0878812,              0.08375
           0.0974848,             0.084375
            0.108478,                0.085
            0.121111,             0.085625
            0.135687,              0.08625
            0.152572,             0.086875
            0.172207,               0.0875
            0.195125,             0.088125
             0.22196,              0.08875
            0.253463,             0.089375
            0.290498,                 0.09
            0.334023,             0.090625
            0.385029,              0.09125
            0.444408,             0.091875
            0.512701,               0.0925
            0.589688,             0.093125
            0.673791,              0.09375
            0.761385,             0.094375
            0.846298,                0.095
            0.920038,             0.095625
            0.973274,              0.09625
            0.998494,             0.096875
            0.992684,               0.0975
            0.958385,             0.098125
            0.902444,              0.09875
              0.8334,             0.099375
            0.759081,                  0.1
            0.685333,             0.100625
            0.615822,              0.10125
            0.552424,             0.101875
            0.495793,               0.1025
            0.445841,             0.103125
            0.402089,              0.10375
            0.363897,             0.104375
            0.330584,                0.105
              0.3015,             0.105625
            0.276056,              0.10625
            0.253735,             0.106875
            0.234092,               0.1075
            0.216746,             0.108125
            0.201372,              0.10875
            0.175494,                 0.11
            0.154738,              0.11125
            0.137866,               0.1125
            0.123982,              0.11375
            0.112429,                0.115
            0.102716,              0.11625
           0.0944732,               0.1175
           0.0874202,              0.11875
           0.0813389,                 0.12
           0.0760591,              0.12125
           0.0714464,               0.1225
           0.0673937,              0.12375
           0.0638145,                0.125
            0.057809,               0.1275
           0.0530055,                 0.13
           0.0491117,               0.1325
           0.0459208,                0.135
           0.0432832,               0.1375
           0.0410885,                 0.14
           0.0392538,               0.1425
           0.0377158,                0.145
           0.0353449,                 0.15
           0.0336972,                0.155
           0.0325961,                 0.16
           0.0319262,                0.165
           0.0316112,                 0.17
           0.0316002,                0.175
             0.03186,                 0.18
           0.0323703,                0.185
           0.0331202,                 0.19
           0.0341067,                0.195
           0.0353333,                  0.2
           0.0368093,                0.205
           0.0385498,                 0.21
           0.0405751,                0.215
            0.042912,                 0.22
           0.0455931,                0.225
           0.0486588,                 0.23
           0.0521573,                0.235
           0.0561466,                 0.24
           0.0606958,                0.245
           0.0658876,                 0.25
           0.0718204,                0.255
           0.0786115,                 0.26
           0.0864013,                0.265
           0.0953575,                 0.27
            0.105681,                0.275
            0.117611,                 0.28
            0.131437,                0.285
              0.1475,                 0.29
            0.166208,                0.295
            0.188044,                  0.3
            0.213569,                0.305
            0.243428,                 0.31
            0.278338,                0.315
            0.319062,                 0.32
             0.36635,                0.325
            0.420826,                 0.33
            0.482809,                0.335
            0.552055,                 0.34
            0.627417,                0.345
            0.706505,                 0.35
            0.785478,                0.355
            0.859173,                 0.36
            0.921766,                0.365
            0.967927,                 0.37
            0.994111,                0.375
             0.99943,                 0.38
            0.985684,                0.385
            0.956614,                 0.39
            0.916795,                0.395
            0.870654,                  0.4
            0.821873,                0.405
            0.773175,                 0.41
            0.726375,                0.415
            0.682551,                 0.42
            0.642242,                0.425
            0.605625,                 0.43
             0.57265,                0.435
            0.543136,                 0.44
            0.516835,                0.445
            0.493474,                 0.45
            0.472777,                0.455
            0.454484,                 0.46
            0.438354,                0.465
            0.424169,                 0.47
            0.411735,                0.475
             0.40088,                 0.48
            0.391454,                0.485
            0.383324,                 0.49
            0.376377,                0.495
            0.370514,                  0.5

