------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.10216e-28,                0.005
          1.3232e-28,            0.0053125
         1.58352e-28,             0.005625
         1.88975e-28,            0.0059375
         2.24963e-28,              0.00625
         2.67212e-28,            0.0065625
         3.16771e-28,             0.006875
         3.74857e-28,            0.0071875
         4.42889e-28,               0.0075
         5.22518e-28,            0.0078125
         6.15666e-28,             0.008125
         7.24568e-28,            0.0084375
         8.51828e-28,              0.00875
         1.00047e-27,            0.0090625
         1.17403e-27,             0.009375
          1.3766e-27,            0.0096875
         1.61296e-27,                 0.01
         1.88865e-27,            0.0103125
         2.21016e-27,             0.010625
           2.585e-27,            0.0109375
         3.02194e-27,              0.01125
         3.53117e-27,            0.0115625
         4.12458e-27,             0.011875
         4.81598e-27,            0.0121875
          5.6215e-27,               0.0125
         6.55988e-27,            0.0128125
         7.65297e-27,             0.013125
         8.92623e-27,            0.0134375
         1.04093e-26,              0.01375
         1.21369e-26,            0.0140625
         1.41491e-26,             0.014375
         1.64931e-26,            0.0146875
         1.92235e-26,                0.015
         2.24045e-26,            0.0153125
         2.61104e-26,             0.015625
         3.04283e-26,            0.0159375
         3.54599e-26,              0.01625
         4.13237e-26,            0.0165625
         4.81581e-26,             0.016875
         5.61251e-26,            0.0171875
         6.54134e-26,               0.0175
         7.62441e-26,            0.0178125
         8.88754e-26,             0.018125
         1.03609e-25,            0.0184375
         1.20799e-25,              0.01875
         1.40858e-25,            0.0190625
         1.64269e-25,             0.019375
           1.916e-25,            0.0196875
         2.23513e-25,                 0.02
         2.60786e-25,            0.0203125
          3.0433e-25,             0.020625
         3.55212e-25,            0.0209375
         4.14685e-25,              0.02125
         4.84219e-25,            0.0215625
         5.65536e-25,             0.021875
         6.60663e-25,            0.0221875
         7.71978e-25,               0.0225
         9.02273e-25,            0.0228125
         1.05483e-24,             0.023125
         1.23352e-24,            0.0234375
         1.44288e-24,              0.02375
         1.68826e-24,            0.0240625
         1.97595e-24,             0.024375
         2.31337e-24,            0.0246875
         2.70925e-24,                0.025
         3.17389e-24,            0.0253125
         3.71945e-24,             0.025625
         4.36026e-24,            0.0259375
         5.11323e-24,              0.02625
         5.99836e-24,            0.0265625
         7.03925e-24,             0.026875
         8.26383e-24,            0.0271875
         9.70511e-24,               0.0275
         1.14022e-23,            0.0278125
         1.34012e-23,             0.028125
         1.57571e-23,            0.0284375
         1.85348e-23,              0.02875
         2.18111e-23,            0.0290625
         2.56776e-23,             0.029375
         3.02426e-23,            0.0296875
         3.56349e-23,                 0.03
         4.20076e-23,            0.0303125
         4.95425e-23,             0.030625
         5.84562e-23,            0.0309375
         6.90064e-23,              0.03125
         8.14999e-23,            0.0315625
         9.63024e-23,             0.031875
          1.1385e-22,            0.0321875
         1.34664e-22,               0.0325
         1.59364e-22,            0.0328125
         1.88694e-22,             0.033125
          2.2354e-22,            0.0334375
         2.64965e-22,              0.03375
         3.14239e-22,            0.0340625
         3.72883e-22,             0.034375
         4.42722e-22,            0.0346875
         5.25945e-22,                0.035
         6.25176e-22,            0.0353125
          7.4357e-22,             0.035625
         8.84918e-22,            0.0359375
         1.05378e-21,              0.03625
         1.25564e-21,            0.0365625
         1.49712e-21,             0.036875
         1.78617e-21,            0.0371875
         2.13243e-21,               0.0375
         2.54748e-21,            0.0378125
         3.04536e-21,             0.038125
         3.64301e-21,            0.0384375
         4.36097e-21,              0.03875
         5.22408e-21,            0.0390625
         6.26247e-21,             0.039375
         7.51269e-21,            0.0396875
          9.0191e-21,                 0.04
         1.08356e-20,            0.0403125
         1.30279e-20,             0.040625
         1.56757e-20,            0.0409375
         1.88764e-20,              0.04125
         2.27486e-20,            0.0415625
         2.74372e-20,             0.041875
         3.31191e-20,            0.0421875
         4.00108e-20,               0.0425
         4.83774e-20,            0.0428125
         5.85435e-20,             0.043125
         7.09076e-20,            0.0434375
         8.59587e-20,              0.04375
         1.04298e-19,            0.0440625
         1.26666e-19,             0.044375
         1.53972e-19,            0.0446875
         1.87342e-19,                0.045
         2.28162e-19,            0.0453125
         2.51887e-19,            0.0454688
         2.78147e-19,             0.045625
          3.0722e-19,            0.0457812
         3.39417e-19,            0.0459375
         3.75082e-19,            0.0460938
           4.146e-19,              0.04625
         4.58398e-19,            0.0464062
         5.06953e-19,            0.0465625
         5.60797e-19,            0.0467188
         6.20523e-19,             0.046875
          6.8679e-19,            0.0470312
         7.60337e-19,            0.0471875
         8.41985e-19,            0.0473438
         9.32654e-19,               0.0475
         1.03337e-18,            0.0476562
         1.14527e-18,            0.0478125
         1.26965e-18,            0.0479688
         1.40793e-18,             0.048125
         1.56171e-18,            0.0482812
         1.73278e-18,            0.0484375
         1.92315e-18,            0.0485938
         2.13504e-18,              0.04875
         2.37098e-18,            0.0489062
         2.63377e-18,            0.0490625
         2.92655e-18,            0.0492188
         3.25286e-18,             0.049375
         3.61665e-18,            0.0495312
         4.02236e-18,            0.0496875
         4.47496e-18,            0.0498437
         4.98004e-18,                 0.05
         5.54387e-18,            0.0501562
          6.1735e-18,            0.0503125
         6.87683e-18,            0.0504687
         7.66277e-18,             0.050625
