------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         3.03327e-12,                0.005
         3.73233e-12,             0.005625
         4.53771e-12,              0.00625
         5.46403e-12,             0.006875
         6.52789e-12,               0.0075
         7.74811e-12,             0.008125
         9.14606e-12,              0.00875
          1.0746e-11,             0.009375
         1.25754e-11,                 0.01
         1.46656e-11,             0.010625
          1.7052e-11,              0.01125
         1.97749e-11,             0.011875
         2.28802e-11,               0.0125
         2.64199e-11,             0.013125
         3.04533e-11,              0.01375
         3.50476e-11,             0.014375
         4.02794e-11,                0.015
          4.6236e-11,             0.015625
         5.30166e-11,              0.01625
         6.07344e-11,             0.016875
         6.95183e-11,               0.0175
         7.95152e-11,             0.018125
          9.0893e-11,              0.01875
         1.03843e-10,             0.019375
         1.18584e-10,                 0.02
         1.35365e-10,             0.020625
         1.54473e-10,              0.02125
         1.76234e-10,             0.021875
         2.01021e-10,               0.0225
         2.29264e-10,             0.023125
         2.61453e-10,              0.02375
         2.98152e-10,             0.024375
         3.40006e-10,                0.025
         3.87758e-10,             0.025625
         4.42261e-10,              0.02625
         5.04497e-10,             0.026875
         5.75596e-10,               0.0275
         6.56858e-10,             0.028125
         7.49786e-10,              0.02875
         8.56111e-10,             0.029375
         9.77835e-10,                 0.03
         1.11727e-09,             0.030625
         1.27709e-09,              0.03125
         1.46041e-09,             0.031875
         1.67081e-09,               0.0325
         1.91247e-09,             0.033125
         2.19023e-09,              0.03375
         2.50974e-09,             0.034375
         2.87756e-09,                0.035
         3.30136e-09,             0.035625
         3.79005e-09,              0.03625
         4.35409e-09,             0.036875
         5.00567e-09,               0.0375
         5.75912e-09,             0.038125
         6.63121e-09,              0.03875
         7.64165e-09,             0.039375
         8.81363e-09,                 0.04
         1.01744e-08,             0.040625
         1.17563e-08,              0.04125
         1.35973e-08,             0.041875
         1.57423e-08,               0.0425
         1.82449e-08,             0.043125
         2.11682e-08,              0.04375
         2.45877e-08,             0.044375
          2.8593e-08,                0.045
         3.32912e-08,             0.045625
         3.88104e-08,              0.04625
         4.53038e-08,             0.046875
         5.29556e-08,               0.0475
         6.19872e-08,             0.048125
         7.26656e-08,              0.04875
         8.53134e-08,             0.049375
         1.00321e-07,                 0.05
         1.18163e-07,             0.050625
         1.39415e-07,              0.05125
         1.64783e-07,             0.051875
         1.95127e-07,               0.0525
         2.31503e-07,             0.053125
         2.75212e-07,              0.05375
         3.27857e-07,             0.054375
         3.91425e-07,                0.055
         4.68381e-07,             0.055625
         5.61799e-07,              0.05625
         6.75525e-07,             0.056875
         8.14385e-07,               0.0575
         8.95084e-07,            0.0578125
         9.84465e-07,             0.058125
         1.08354e-06,            0.0584375
         1.19347e-06,              0.05875
         1.31552e-06,            0.0590625
         1.45118e-06,             0.059375
         1.60208e-06,            0.0596875
          1.7701e-06,                 0.06
         1.95737e-06,            0.0603125
         2.16628e-06,             0.060625
         2.39959e-06,            0.0609375
         2.66041e-06,              0.06125
         2.95231e-06,            0.0615625
         3.27933e-06,             0.061875
         3.64613e-06,            0.0621875
         4.05803e-06,               0.0625
         4.52112e-06,            0.0628125
         5.04242e-06,             0.063125
            5.63e-06,            0.0634375
         6.29316e-06,              0.06375
         7.04265e-06,            0.0640625
         7.89088e-06,             0.064375
         8.85229e-06,            0.0646875
          9.9436e-06,                0.065
         1.11843e-05,            0.0653125
         1.25972e-05,             0.065625
         1.42088e-05,            0.0659375
         1.60502e-05,              0.06625
         1.81581e-05,            0.0665625
         2.05757e-05,             0.066875
         2.33536e-05,            0.0671875
         2.65524e-05,               0.0675
         3.02434e-05,            0.0678125
         3.45119e-05,             0.068125
         3.94598e-05,            0.0684375
          4.5209e-05,              0.06875
         5.19065e-05,            0.0690625
         5.97293e-05,             0.069375
         6.88923e-05,            0.0696875
         7.96568e-05,                 0.07
         9.23419e-05,            0.0703125
          0.00010734,             0.070625
         0.000125133,            0.0709375
         0.000146322,              0.07125
         0.000171652,            0.0715625
          0.00020206,             0.071875
         0.000238726,            0.0721875
         0.000283149,               0.0725
         0.000337247,            0.0728125
          0.00036867,            0.0729687
          0.00040349,             0.073125
         0.000442134,            0.0732813
         0.000485089,            0.0734375
         0.000532914,            0.0735938
         0.000586253,              0.07375
         0.000645849,            0.0739063
         0.000712561,            0.0740625
         0.000787384,            0.0742188
         0.000871478,             0.074375
         0.000966195,            0.0745313
          0.00107312,            0.0746875
          0.00119412,            0.0748438
          0.00133138,                0.075
          0.00148751,            0.0751563
           0.0016656,            0.0753125
          0.00186936,            0.0754688
          0.00210321,             0.075625
           0.0023725,            0.0757813
          0.00268373,            0.0759375
          0.00304481,            0.0760938
          0.00346543,              0.07625
          0.00395761,            0.0764063
          0.00453624,            0.0765625
          0.00522001,            0.0767188
          0.00603253,             0.076875
          0.00700388,            0.0770313
           0.0081728,            0.0771875
          0.00958963,            0.0773438
           0.0113206,               0.0775
           0.0123304,            0.0775781
            0.013454,            0.0776563
           0.0147072,            0.0777344
           0.0161088,            0.0778125
           0.0176806,            0.0778906
           0.0194485,            0.0779688
            0.021443,            0.0780469
           0.0237006,             0.078125
           0.0262649,            0.0782031
           0.0291883,            0.0782813
           0.0325343,            0.0783594
             0.03638,            0.0784375
           0.0408196,            0.0785156
           0.0459693,            0.0785938
           0.0519729,            0.0786719
           0.0590095,              0.07875
           0.0673041,            0.0788281
           0.0771408,            0.0789063
           0.0888806,            0.0789844
            0.102985,            0.0790625
            0.120048,            0.0791406
            0.140833,            0.0792188
            0.166324,            0.0792969
            0.197784,             0.079375
            0.236809,            0.0794531
            0.285354,            0.0795312
            0.345684,            0.0796094
            0.420093,            0.0796875
            0.510206,            0.0797656
            0.615522,            0.0798437
            0.731102,            0.0799219
            0.845133,                 0.08
            0.895883,            0.0800391
             0.93891,            0.0800781
            0.971727,            0.0801172
            0.992421,            0.0801563
             0.99997,            0.0801953
            0.994395,            0.0802344
            0.976721,            0.0802734
            0.948752,            0.0803125
            0.912747,            0.0803516
            0.871084,            0.0803906
             0.77939,            0.0804688
            0.687324,            0.0805469
            0.602571,             0.080625
            0.528217,            0.0807031
            0.464652,            0.0807812
            0.410991,            0.0808594
            0.365902,            0.0809375
            0.328012,            0.0810156
            0.296082,            0.0810937
            0.269058,            0.0811719
            0.246068,              0.08125
            0.226402,            0.0813281
            0.209488,            0.0814063
            0.194862,            0.0814844
             0.18215,            0.0815625
             0.17105,            0.0816406
            0.161313,            0.0817188
            0.145158,             0.081875
            0.132456,            0.0820312
            0.122358,            0.0821875
            0.114267,            0.0823437
            0.107753,               0.0825
            0.102503,            0.0826563
           0.0982851,            0.0828125
