------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.33165e-16,                0.005
         1.65071e-16,             0.005625
         2.02178e-16,              0.00625
         2.45254e-16,             0.006875
         2.95175e-16,               0.0075
         3.52942e-16,             0.008125
         4.19702e-16,              0.00875
         4.96762e-16,             0.009375
         5.85623e-16,                 0.01
         6.87995e-16,             0.010625
         8.05839e-16,              0.01125
         9.41396e-16,             0.011875
         1.09723e-15,               0.0125
         1.27628e-15,             0.013125
         1.48191e-15,              0.01375
         1.71797e-15,             0.014375
         1.98886e-15,                0.015
         2.29965e-15,             0.015625
         2.65613e-15,              0.01625
         3.06495e-15,             0.016875
         3.53373e-15,               0.0175
         4.07122e-15,             0.018125
         4.68748e-15,              0.01875
         5.39405e-15,             0.019375
         6.20421e-15,                 0.02
          7.1332e-15,             0.020625
         8.19858e-15,              0.02125
         9.42056e-15,             0.021875
         1.08224e-14,               0.0225
          1.2431e-14,             0.023125
         1.42772e-14,              0.02375
         1.63966e-14,             0.024375
         1.88306e-14,                0.025
         2.16267e-14,             0.025625
         2.48399e-14,              0.02625
         2.85339e-14,             0.026875
         3.27823e-14,               0.0275
         3.76706e-14,             0.028125
         4.32978e-14,              0.02875
         4.97786e-14,             0.029375
         5.72466e-14,                 0.03
         6.58567e-14,             0.030625
         7.57893e-14,              0.03125
         8.72544e-14,             0.031875
         1.00497e-13,               0.0325
         1.15802e-13,             0.033125
         1.33502e-13,              0.03375
         1.53988e-13,             0.034375
         1.77715e-13,                0.035
         2.05217e-13,             0.035625
         2.37118e-13,              0.03625
         2.74153e-13,             0.036875
         3.17185e-13,               0.0375
         3.67228e-13,             0.038125
         4.25476e-13,              0.03875
         4.93339e-13,             0.039375
          5.7248e-13,                 0.04
         6.64864e-13,             0.040625
          7.7282e-13,              0.04125
         8.99104e-13,             0.041875
         1.04699e-12,               0.0425
         1.22038e-12,             0.043125
         1.42389e-12,              0.04375
         1.66305e-12,             0.044375
         1.94447e-12,                0.045
         2.27602e-12,             0.045625
         2.66716e-12,              0.04625
         3.12924e-12,             0.046875
          3.6759e-12,               0.0475
         4.32357e-12,             0.048125
         5.09206e-12,              0.04875
         6.00536e-12,             0.049375
         7.09251e-12,                 0.05
         8.38877e-12,             0.050625
         9.93704e-12,              0.05125
         1.17896e-11,             0.051875
         1.40105e-11,               0.0525
         1.66779e-11,             0.053125
         1.98882e-11,              0.05375
         2.37597e-11,             0.054375
         2.84387e-11,                0.055
         3.41061e-11,             0.055625
         4.09868e-11,              0.05625
         4.93605e-11,             0.056875
         5.95767e-11,               0.0575
         7.20733e-11,             0.058125
         7.93435e-11,            0.0584375
         8.74006e-11,              0.05875
         9.63362e-11,            0.0590625
         1.06253e-10,             0.059375
         1.17268e-10,            0.0596875
          1.2951e-10,                 0.06
         1.43129e-10,            0.0603125
         1.58289e-10,             0.060625
          1.7518e-10,            0.0609375
         1.94015e-10,              0.06125
         2.15036e-10,            0.0615625
         2.38515e-10,             0.061875
         2.64766e-10,            0.0621875
          2.9414e-10,               0.0625
          3.2704e-10,            0.0628125
         3.63926e-10,             0.063125
          4.0532e-10,            0.0634375
          4.5182e-10,              0.06375
          5.0411e-10,            0.0640625
         5.62972e-10,             0.064375
         6.29304e-10,            0.0646875
         7.04138e-10,                0.065
         7.88661e-10,            0.0653125
         8.84237e-10,             0.065625
         9.92444e-10,            0.0659375
          1.1151e-09,              0.06625
         1.25432e-09,            0.0665625
         1.41254e-09,             0.066875
         1.59259e-09,            0.0671875
         1.79779e-09,               0.0675
         2.03196e-09,            0.0678125
         2.29961e-09,             0.068125
         2.60597e-09,            0.0684375
         2.95721e-09,              0.06875
         3.36056e-09,            0.0690625
         3.82451e-09,             0.069375
          4.3591e-09,            0.0696875
         4.97619e-09,                 0.07
         5.68985e-09,            0.0703125
         6.51675e-09,             0.070625
          7.4768e-09,            0.0709375
         8.59373e-09,              0.07125
         9.89596e-09,            0.0715625
         1.14176e-08,             0.071875
         1.31998e-08,            0.0721875
         1.52922e-08,               0.0725
         1.77549e-08,            0.0728125
         2.06611e-08,             0.073125
         2.40999e-08,            0.0734375
         2.81807e-08,              0.07375
         3.30377e-08,            0.0740625
         3.88364e-08,             0.074375
         4.57824e-08,            0.0746875
         5.41308e-08,                0.075
         6.42012e-08,            0.0753125
         7.63947e-08,             0.075625
         9.12178e-08,            0.0759375
         1.09313e-07,              0.07625
         1.19836e-07,            0.0764063
         1.31502e-07,            0.0765625
         1.44449e-07,            0.0767188
         1.58837e-07,             0.076875
         1.74846e-07,            0.0770313
         1.92681e-07,            0.0771875
         2.12577e-07,            0.0773438
         2.34804e-07,               0.0775
         2.59669e-07,            0.0776563
         2.87527e-07,            0.0778125
         3.18786e-07,            0.0779688
         3.53914e-07,             0.078125
         3.93456e-07,            0.0782813
         4.38041e-07,            0.0784375
         4.88398e-07,            0.0785938
         5.45379e-07,              0.07875
         6.09974e-07,            0.0789063
         6.83342e-07,            0.0790625
         7.66842e-07,            0.0792188
         8.62071e-07,             0.079375
         9.70912e-07,            0.0795312
         1.09559e-06,            0.0796875
         1.23875e-06,            0.0798437
         1.40353e-06,                 0.08
         1.59367e-06,            0.0801563
         1.81366e-06,            0.0803125
          2.0689e-06,            0.0804688
         2.36589e-06,             0.080625
         2.71252e-06,            0.0807812
         3.11835e-06,            0.0809375
         3.59508e-06,            0.0810937
         4.15707e-06,              0.08125
         4.82197e-06,            0.0814063
         5.61168e-06,            0.0815625
         6.55342e-06,            0.0817188
         7.68128e-06,             0.081875
          9.0381e-06,            0.0820312
         1.06782e-05,            0.0821875
         1.26705e-05,            0.0823437
         1.51038e-05,               0.0825
         1.65203e-05,            0.0825781
         1.80923e-05,            0.0826563
         1.98395e-05,            0.0827344
         2.17846e-05,            0.0828125
         2.39533e-05,            0.0828906
         2.63754e-05,            0.0829688
         2.90851e-05,            0.0830469
         3.21219e-05,             0.083125
         3.55313e-05,            0.0832031
         3.93662e-05,            0.0832813
          4.3688e-05,            0.0833594
         4.85683e-05,            0.0834375
         5.40903e-05,            0.0835156
         6.03515e-05,            0.0835937
         6.74664e-05,            0.0836719
         7.55693e-05,              0.08375
         8.48185e-05,            0.0838281
          9.5401e-05,            0.0839063
         0.000107538,            0.0839844
         0.000121494,            0.0840625
          0.00013758,            0.0841406
         0.000156171,            0.0842188
         0.000177714,            0.0842969
         0.000202745,             0.084375
         0.000231907,            0.0844531
         0.000265978,            0.0845313
         0.000305893,            0.0846094
         0.000352784,            0.0846875
         0.000408021,            0.0847656
         0.000473263,            0.0848437
         0.000550518,            0.0849219
         0.000642218,                0.085
           0.0007513,            0.0850781
         0.000881298,            0.0851563
          0.00103645,            0.0852344
           0.0012218,            0.0853125
          0.00144326,            0.0853906
          0.00170771,            0.0854688
          0.00202291,            0.0855469
          0.00239743,             0.085625
          0.00284019,            0.0857031
          0.00335989,            0.0857813
          0.00396385,            0.0858594
          0.00465645,            0.0859375
          0.00543692,            0.0860156
          0.00629677,            0.0860937
          0.00721708,            0.0861719
          0.00816645,              0.08625
          0.00910057,            0.0863281
          0.00996445,            0.0864063
           0.0106978,            0.0864844
           0.0112437,            0.0865625
           0.0115577,            0.0866406
           0.0116163,            0.0867188
           0.0114213,            0.0867969
           0.0109983,             0.086875
           0.0103909,            0.0869531
          0.00965249,            0.0870313
           0.0088372,            0.0871094
          0.00799362,            0.0871875
          0.00716075,            0.0872656
          0.00636676,            0.0873437
          0.00562967,            0.0874219
          0.00495908,               0.0875
          0.00435821,            0.0875781
          0.00382588,            0.0876563
          0.00335818,            0.0877344
          0.00294964,            0.0878125
          0.00259419,            0.0878906
          0.00228565,            0.0879688
          0.00201815,            0.0880469
          0.00178629,             0.088125
          0.00158521,            0.0882031
          0.00141065,            0.0882813
          0.00125886,            0.0883594
          0.00112664,            0.0884375
          0.00101121,            0.0885156
         0.000910222,            0.0885937
         0.000821648,            0.0886719
         0.000743769,              0.08875
         0.000675119,            0.0888281
          0.00061445,            0.0889063
         0.000560695,            0.0889844
         0.000512945,            0.0890625
         0.000470421,            0.0891406
         0.000432458,            0.0892188
         0.000398483,            0.0892969
         0.000368005,             0.089375
         0.000315902,            0.0895313
         0.000273401,            0.0896875
         0.000238436,            0.0898438
         0.000209438,                 0.09
         0.000185208,            0.0901563
         0.000164816,            0.0903125
          0.00014754,            0.0904688
         0.000132812,             0.090625
         0.000120183,            0.0907813
         0.000109293,            0.0909375
         9.98557e-05,            0.0910938
         9.16366e-05,              0.09125
         8.44465e-05,            0.0914062
           7.813e-05,            0.0915625
          7.2559e-05,            0.0917187
         6.76273e-05,             0.091875
         5.93431e-05,            0.0921875
         5.27274e-05,               0.0925
         4.73881e-05,            0.0928125
         4.30408e-05,             0.093125
         3.94756e-05,            0.0934375
         3.65361e-05,              0.09375
         3.41038e-05,            0.0940625
         3.20882e-05,             0.094375
         3.04198e-05,            0.0946875
         2.90442e-05,                0.095
         2.79193e-05,            0.0953125
         2.70122e-05,             0.095625
         2.57544e-05,              0.09625
         2.51288e-05,             0.096875
         2.50587e-05,               0.0975
          2.5516e-05,             0.098125
         2.65143e-05,              0.09875
         2.81085e-05,             0.099375
         3.04008e-05,                  0.1
         3.18568e-05,             0.100312
         3.35545e-05,             0.100625
         3.55274e-05,             0.100938
         3.78171e-05,              0.10125
         4.04741e-05,             0.101562
         4.35607e-05,             0.101875
         4.71536e-05,             0.102188
         5.13479e-05,               0.1025
         5.62622e-05,             0.102813
         6.20453e-05,             0.103125
         6.88852e-05,             0.103438
         7.70213e-05,              0.10375
         8.67613e-05,             0.104063
         9.85041e-05,             0.104375
         0.000112772,             0.104688
         0.000130257,                0.105
         0.000140483,             0.105156
         0.000151883,             0.105313
         0.000164626,             0.105469
         0.000178907,             0.105625
         0.000194958,             0.105781
          0.00021305,             0.105938
         0.000233506,             0.106094
          0.00025671,              0.10625
         0.000283117,             0.106406
         0.000313275,             0.106563
         0.000347839,             0.106719
         0.000387604,             0.106875
         0.000433528,             0.107031
         0.000486781,             0.107188
         0.000548789,             0.107344
