------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.71271e-12,                0.005
         2.10408e-12,             0.005625
           2.554e-12,              0.00625
         3.07036e-12,             0.006875
         3.66212e-12,               0.0075
          4.3394e-12,             0.008125
         5.11367e-12,              0.00875
         5.99792e-12,             0.009375
         7.00684e-12,                 0.01
         8.15709e-12,             0.010625
         9.46753e-12,              0.01125
         1.09595e-11,             0.011875
         1.26573e-11,               0.0125
         1.45884e-11,             0.013125
         1.67839e-11,              0.01375
         1.92791e-11,             0.014375
         2.21142e-11,                0.015
         2.53347e-11,             0.015625
         2.89922e-11,              0.01625
         3.31456e-11,             0.016875
         3.78617e-11,               0.0175
         4.32162e-11,             0.018125
         4.92957e-11,              0.01875
         5.61983e-11,             0.019375
         6.40361e-11,                 0.02
         7.29366e-11,             0.020625
          8.3045e-11,              0.02125
         9.45273e-11,             0.021875
         1.07573e-10,               0.0225
         1.22397e-10,             0.023125
         1.39247e-10,              0.02375
         1.58405e-10,             0.024375
         1.80194e-10,                0.025
         2.04983e-10,             0.025625
         2.33195e-10,              0.02625
         2.65316e-10,             0.026875
         3.01901e-10,               0.0275
         3.43591e-10,             0.028125
         3.91118e-10,              0.02875
         4.45327e-10,             0.029375
         5.07189e-10,                 0.03
         5.77821e-10,             0.030625
         6.58513e-10,              0.03125
         7.50751e-10,             0.031875
         8.56254e-10,               0.0325
         9.77004e-10,             0.033125
          1.1153e-09,              0.03375
         1.27379e-09,             0.034375
         1.45557e-09,                0.035
         1.66421e-09,             0.035625
         1.90386e-09,              0.03625
         2.17935e-09,             0.036875
          2.4963e-09,               0.0375
         2.86127e-09,             0.038125
          3.2819e-09,              0.03875
         3.76713e-09,             0.039375
          4.3274e-09,                 0.04
         4.97495e-09,             0.040625
         5.72413e-09,              0.04125
         6.59181e-09,             0.041875
          7.5978e-09,               0.0425
         8.76545e-09,             0.043125
         1.01223e-08,              0.04375
         1.17009e-08,             0.044375
         1.35397e-08,                0.045
         1.56843e-08,             0.045625
         1.81888e-08,              0.04625
         2.11177e-08,             0.046875
         2.45475e-08,               0.0475
         2.85699e-08,             0.048125
         3.32941e-08,              0.04875
         3.88513e-08,             0.049375
         4.53987e-08,                 0.05
         5.31256e-08,             0.050625
           6.226e-08,              0.05125
         7.30775e-08,             0.051875
         8.59117e-08,               0.0525
         1.01168e-07,             0.053125
         1.19338e-07,              0.05375
         1.41024e-07,             0.054375
         1.66961e-07,                0.055
         1.98051e-07,             0.055625
         2.35404e-07,              0.05625
         2.80387e-07,             0.056875
         3.34695e-07,               0.0575
         4.00432e-07,             0.058125
         4.80217e-07,              0.05875
         5.77326e-07,             0.059375
          6.9587e-07,                 0.06
         7.64749e-07,            0.0603125
         8.41026e-07,             0.060625
         9.25567e-07,            0.0609375
         1.01934e-06,              0.06125
         1.12345e-06,            0.0615625
         1.23914e-06,             0.061875
          1.3678e-06,            0.0621875
         1.51102e-06,               0.0625
         1.67061e-06,            0.0628125
          1.8486e-06,             0.063125
         2.04731e-06,            0.0634375
         2.26938e-06,              0.06375
         2.51781e-06,            0.0640625
         2.79604e-06,             0.064375
         3.10798e-06,            0.0646875
         3.45811e-06,                0.065
         3.85157e-06,            0.0653125
         4.29425e-06,             0.065625
         4.79292e-06,            0.0659375
         5.35537e-06,              0.06625
         5.99061e-06,            0.0665625
         6.70901e-06,             0.066875
          7.5226e-06,            0.0671875
         8.44531e-06,               0.0675
         9.49334e-06,            0.0678125
         1.06855e-05,             0.068125
         1.20439e-05,            0.0684375
         1.35941e-05,              0.06875
         1.53662e-05,            0.0690625
         1.73957e-05,             0.069375
         1.97241e-05,            0.0696875
         2.24005e-05,                 0.07
          2.5483e-05,            0.0703125
         2.90406e-05,             0.070625
          3.3155e-05,            0.0709375
         3.79242e-05,              0.07125
         4.34651e-05,            0.0715625
          4.9918e-05,             0.071875
         5.74523e-05,            0.0721875
         6.62721e-05,               0.0725
         7.66255e-05,            0.0728125
         8.88145e-05,             0.073125
         0.000103208,            0.0734375
         0.000120259,              0.07375
         0.000140528,            0.0740625
         0.000164706,             0.074375
         0.000193656,            0.0746875
         0.000228458,                0.075
         0.000270474,            0.0753125
         0.000321425,             0.075625
         0.000383509,            0.0759375
         0.000419577,            0.0760938
         0.000459546,              0.07625
         0.000503897,            0.0764063
         0.000553183,            0.0765625
         0.000608036,            0.0767188
         0.000669177,             0.076875
          0.00073744,            0.0770313
          0.00081378,            0.0771875
         0.000899303,            0.0773438
         0.000995289,               0.0775
          0.00110322,            0.0776563
          0.00122483,            0.0778125
          0.00136212,            0.0779688
          0.00151747,             0.078125
          0.00169365,            0.0782813
          0.00189391,            0.0784375
          0.00212213,            0.0785938
          0.00238289,              0.07875
          0.00268165,            0.0789063
          0.00302496,            0.0790625
          0.00342067,            0.0792188
          0.00387827,             0.079375
          0.00440927,            0.0795312
           0.0050277,            0.0796875
          0.00575077,            0.0798437
          0.00659968,                 0.08
          0.00760078,            0.0801563
          0.00878695,            0.0803125
           0.0101995,            0.0804688
           0.0118909,             0.080625
           0.0139281,            0.0807812
           0.0163974,            0.0809375
           0.0194107,            0.0810937
           0.0211657,            0.0811719
           0.0231153,              0.08125
           0.0252855,            0.0813281
           0.0277064,            0.0814063
           0.0304128,            0.0814844
           0.0334455,            0.0815625
           0.0368517,            0.0816406
           0.0406872,            0.0817188
           0.0450169,            0.0817969
           0.0499177,             0.081875
           0.0554803,            0.0819531
           0.0618118,            0.0820312
           0.0690397,            0.0821094
           0.0773155,            0.0821875
           0.0868195,            0.0822656
           0.0977673,            0.0823437
            0.110416,            0.0824219
            0.125072,               0.0825
            0.142099,            0.0825781
             0.16193,            0.0826563
            0.185071,            0.0827344
            0.212108,            0.0828125
            0.243707,            0.0828906
            0.280598,            0.0829688
            0.323539,            0.0830469
            0.373243,             0.083125
            0.430253,            0.0832031
            0.494741,            0.0832813
            0.566233,            0.0833594
            0.643275,            0.0834375
            0.723123,            0.0835156
            0.801615,            0.0835937
            0.873428,            0.0836719
            0.932849,              0.08375
            0.974957,            0.0838281
            0.996818,            0.0839063
            0.998148,            0.0839844
            0.981165,            0.0840625
            0.949759,            0.0841406
            0.908431,            0.0842188
            0.861414,            0.0842969
            0.812166,             0.084375
             0.71625,            0.0845313
            0.631695,            0.0846875
            0.561365,            0.0848437
            0.504465,                0.085
            0.459037,            0.0851563
            0.423022,            0.0853125
            0.394639,            0.0854688
            0.372455,             0.085625
            0.355359,            0.0857813
            0.342507,            0.0859375
            0.333265,            0.0860937
            0.327164,              0.08625
            0.323868,            0.0864063
            0.323142,            0.0865625
            0.328879,             0.086875
             0.34399,            0.0871875
            0.368997,               0.0875
            0.405208,            0.0878125
             0.45462,             0.088125
            0.519658,            0.0884375
            0.602403,              0.08875
            0.702651,            0.0890625
            0.757746,            0.0892188
            0.814077,             0.089375
            0.869044,            0.0895313
            0.919171,            0.0896875
            0.960352,            0.0898438
            0.988397,                 0.09
             0.99985,            0.0901563
             0.99284,            0.0903125
            0.967618,            0.0904688
            0.926522,             0.090625
             0.87338,            0.0907813
            0.812622,            0.0909375
            0.748449,            0.0910938
            0.684298,              0.09125
            0.565028,            0.0915625
            0.512264,            0.0917187
            0.464613,             0.091875
            0.421988,            0.0920313
            0.384094,            0.0921875
             0.35053,            0.0923438
            0.320856,               0.0925
            0.294637,            0.0926562
            0.271462,            0.0928125
            0.250954,            0.0929687
            0.232778,             0.093125
            0.202284,            0.0934375
            0.178046,              0.09375
            0.158618,            0.0940625
            0.142918,             0.094375
            0.130144,            0.0946875
             0.11969,                0.095
            0.111101,            0.0953125
            0.104031,             0.095625
           0.0982133,            0.0959375
           0.0934449,              0.09625
           0.0895677,            0.0965625
           0.0864596,             0.096875
           0.0840268,            0.0971875
           0.0821978,               0.0975
           0.0801532,             0.098125
           0.0800707,              0.09875
            0.081888,             0.099375
            0.085717,                  0.1
           0.0918588,             0.100625
           0.0959542,             0.100938
            0.100854,              0.10125
            0.106678,             0.101562
             0.11358,             0.101875
            0.121752,             0.102188
            0.131435,               0.1025
            0.142934,             0.102813
            0.156637,             0.103125
            0.173039,             0.103438
            0.192769,              0.10375
            0.216635,             0.104063
            0.245663,             0.104375
            0.281148,             0.104688
            0.324689,                0.105
            0.378171,             0.105313
            0.443618,             0.105625
             0.52275,             0.105938
            0.615984,              0.10625
            0.720617,             0.106563
            0.828318,             0.106875
            0.878696,             0.107031
            0.923452,             0.107188
            0.959892,             0.107344
            0.985544,               0.1075
            0.998552,             0.107656
            0.998013,             0.107813
            0.984146,             0.107969
            0.958235,             0.108125
            0.922378,             0.108281
             0.87911,             0.108438
            0.780514,              0.10875
            0.679586,             0.109063
            0.586652,             0.109375
            0.506012,             0.109687
            0.438277,                 0.11
            0.382314,             0.110313
            0.336404,             0.110625
            0.298806,             0.110937
            0.267981,              0.11125
            0.242653,             0.111563
            0.221792,             0.111875
            0.204586,             0.112187
            0.190395,               0.1125
             0.17872,             0.112813
            0.169175,             0.113125
            0.161459,             0.113437
            0.155346,              0.11375
            0.150667,             0.114063
            0.147303,             0.114375
            0.144256,                0.115
            0.144542,             0.115313
            0.146083,             0.115625
            0.148971,             0.115937
            0.153356,              0.11625
            0.159457,             0.116563
            0.167585,             0.116875
            0.178175,             0.117188
            0.191835,               0.1175
            0.209417,             0.117813
            0.232126,             0.118125
            0.245916,             0.118281
            0.261686,             0.118438
            0.279771,             0.118594
            0.300572,              0.11875
            0.324571,             0.118906
            0.352335,             0.119063
            0.384529,             0.119219
            0.421909,             0.119375
            0.465295,             0.119531
            0.515504,             0.119688
            0.573191,             0.119844
            0.638567,                 0.12
            0.710905,             0.120156
            0.787811,             0.120313
            0.864348,             0.120469
            0.932422,             0.120625
             0.98128,             0.120781
            0.999992,             0.120938
            0.981686,             0.121094
            0.927184,              0.12125
            0.845105,             0.121406
            0.748123,             0.121562
            0.648251,             0.121719
            0.553981,             0.121875
            0.469849,             0.122031
            0.397364,             0.122188
            0.336218,             0.122344
            0.285233,               0.1225
