------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.49632e-12,                0.005
         1.69824e-12,            0.0053125
         1.92134e-12,             0.005625
         2.16772e-12,            0.0059375
         2.43969e-12,              0.00625
         2.73981e-12,            0.0065625
         3.07088e-12,             0.006875
           3.436e-12,            0.0071875
         3.83857e-12,               0.0075
         4.28235e-12,            0.0078125
         4.77148e-12,             0.008125
         5.31053e-12,            0.0084375
         5.90454e-12,              0.00875
         6.55907e-12,            0.0090625
         7.28027e-12,             0.009375
         8.07494e-12,            0.0096875
         8.95057e-12,                 0.01
         1.09789e-11,             0.010625
         1.34429e-11,              0.01125
          1.6438e-11,             0.011875
         2.00817e-11,               0.0125
         2.45189e-11,             0.013125
         2.99289e-11,              0.01375
         3.30663e-11,            0.0140625
         3.65344e-11,             0.014375
         4.03695e-11,            0.0146875
         4.46125e-11,                0.015
         4.93088e-11,            0.0153125
         5.45096e-11,             0.015625
         6.02721e-11,            0.0159375
         6.66603e-11,              0.01625
         7.37466e-11,            0.0165625
         8.16118e-11,             0.016875
         9.03475e-11,            0.0171875
         1.00056e-10,               0.0175
         1.10855e-10,            0.0178125
         1.22873e-10,             0.018125
         1.36261e-10,            0.0184375
         1.51186e-10,              0.01875
          1.6784e-10,            0.0190625
         1.86438e-10,             0.019375
         2.07229e-10,            0.0196875
         2.30493e-10,                 0.02
         2.56552e-10,            0.0203125
         2.85775e-10,             0.020625
         3.18582e-10,            0.0209375
         3.55458e-10,              0.02125
          3.9696e-10,            0.0215625
         4.43731e-10,             0.021875
         4.96515e-10,            0.0221875
         5.56172e-10,               0.0225
         6.23703e-10,            0.0228125
         7.00272e-10,             0.023125
          7.8724e-10,            0.0234375
         8.86202e-10,              0.02375
          9.9903e-10,            0.0240625
         1.12793e-09,             0.024375
         1.27552e-09,            0.0246875
         1.44489e-09,                0.025
         1.63975e-09,            0.0253125
         1.86451e-09,             0.025625
          2.1245e-09,            0.0259375
         2.42614e-09,              0.02625
         2.77724e-09,            0.0265625
         3.18732e-09,             0.026875
         3.66808e-09,            0.0271875
         4.23398e-09,               0.0275
         4.90301e-09,            0.0278125
         5.69773e-09,             0.028125
         6.64662e-09,            0.0284375
         7.78604e-09,              0.02875
         9.16277e-09,            0.0290625
         1.08377e-08,             0.029375
          1.1811e-08,            0.0295313
         1.28908e-08,            0.0296875
         1.40914e-08,            0.0298438
         1.54291e-08,                 0.03
         1.69235e-08,            0.0301563
         1.85972e-08,            0.0303125
         2.04767e-08,            0.0304687
         2.25938e-08,             0.030625
         2.49857e-08,            0.0307812
         2.76975e-08,            0.0309375
         3.07828e-08,            0.0310937
         3.43068e-08,              0.03125
         3.83488e-08,            0.0314062
         4.30059e-08,            0.0315625
          4.8398e-08,            0.0317188
         5.46748e-08,             0.031875
          6.2024e-08,            0.0320312
         7.06844e-08,            0.0321875
         8.09621e-08,            0.0323438
         9.32551e-08,               0.0325
         1.08087e-07,            0.0326562
         1.26158e-07,            0.0328125
         1.36692e-07,            0.0328906
         1.48418e-07,            0.0329688
         1.61512e-07,            0.0330469
         1.76183e-07,             0.033125
         1.92684e-07,            0.0332031
         2.11316e-07,            0.0332812
         2.32443e-07,            0.0333594
         2.56512e-07,            0.0334375
         2.84068e-07,            0.0335156
         3.15792e-07,            0.0335938
         3.52529e-07,            0.0336719
         3.95353e-07,              0.03375
         4.45631e-07,            0.0338281
         5.05133e-07,            0.0339062
         5.76177e-07,            0.0339844
         6.61849e-07,            0.0340625
         7.66322e-07,            0.0341406
         8.27326e-07,            0.0341797
         8.95348e-07,            0.0342188
         9.71479e-07,            0.0342578
         1.05703e-06,            0.0342969
         1.15359e-06,            0.0343359
         1.26307e-06,             0.034375
         1.38786e-06,            0.0344141
         1.53087e-06,            0.0344531
         1.69575e-06,            0.0344922
         1.88713e-06,            0.0345312
         2.11088e-06,            0.0345703
         2.37461e-06,            0.0346094
         2.68826e-06,            0.0346484
         3.06508e-06,            0.0346875
         3.52294e-06,            0.0347266
         3.78963e-06,            0.0347461
         4.08652e-06,            0.0347656
         4.41829e-06,            0.0347852
         4.79056e-06,            0.0348047
         5.21013e-06,            0.0348242
         5.68527e-06,            0.0348437
         6.22614e-06,            0.0348633
         6.84533e-06,            0.0348828
         7.55855e-06,            0.0349023
          8.3857e-06,            0.0349219
         9.35214e-06,            0.0349414
         1.04907e-05,            0.0349609
         1.18446e-05,            0.0349805
         1.34711e-05,                0.035
         1.54481e-05,            0.0350195
         1.66003e-05,            0.0350293
         1.78835e-05,            0.0350391
         1.93183e-05,            0.0350488
         2.09294e-05,            0.0350586
         2.27468e-05,            0.0350684
          2.4807e-05,            0.0350781
         2.71552e-05,            0.0350879
         2.98473e-05,            0.0350977
         3.29535e-05,            0.0351074
         3.65629e-05,            0.0351172
         4.07899e-05,             0.035127
         4.57832e-05,            0.0351367
         5.17391e-05,            0.0351465
         5.89207e-05,            0.0351562
         6.76875e-05,             0.035166
         7.28148e-05,            0.0351709
          7.8541e-05,            0.0351758
         8.49629e-05,            0.0351807
         9.21974e-05,            0.0351855
         0.000100387,            0.0351904
         0.000109708,            0.0351953
         0.000120376,            0.0352002
         0.000132666,            0.0352051
          0.00014692,              0.03521
          0.00016358,            0.0352148
         0.000183218,            0.0352197
         0.000206586,            0.0352246
         0.000234688,            0.0352295
         0.000268891,            0.0352344
         0.000288846,            0.0352368
         0.000311091,            0.0352393
         0.000335989,            0.0352417
         0.000363978,            0.0352441
         0.000395591,            0.0352466
         0.000431477,             0.035249
          0.00047244,            0.0352515
         0.000519482,            0.0352539
          0.00057386,            0.0352563
         0.000637176,            0.0352588
         0.000711491,            0.0352612
         0.000799492,            0.0352637
         0.000904735,            0.0352661
            0.001032,            0.0352686
          0.00118784,             0.035271
           0.0012792,            0.0352722
          0.00138141,            0.0352734
          0.00149622,            0.0352747
          0.00162579,            0.0352759
          0.00177272,            0.0352771
          0.00194022,            0.0352783
          0.00213225,            0.0352795
          0.00235378,            0.0352808
          0.00261106,             0.035282
          0.00291206,            0.0352832
          0.00326707,            0.0352844
          0.00368947,            0.0352856
          0.00419694,            0.0352869
          0.00481317,            0.0352881
          0.00557028,            0.0352893
          0.00601489,            0.0352899
          0.00651255,            0.0352905
          0.00707159,            0.0352911
          0.00770193,            0.0352917
          0.00841542,            0.0352924
          0.00922625,             0.035293
           0.0101514,            0.0352936
           0.0112115,            0.0352942
           0.0124309,            0.0352948
            0.013839,            0.0352954
           0.0154707,             0.035296
            0.017367,            0.0352966
           0.0195747,            0.0352972
           0.0221458,            0.0352979
           0.0251336,            0.0352985
            0.028586,            0.0352991
           0.0325314,            0.0352997
           0.0369559,            0.0353003
           0.0417691,            0.0353009
           0.0467618,            0.0353015
           0.0515717,            0.0353021
           0.0556871,            0.0353027
           0.0585284,            0.0353033
           0.0596124,             0.035304
           0.0587366,            0.0353046
           0.0560668,            0.0353052
           0.0520644,            0.0353058
           0.0473076,            0.0353064
             0.04232,             0.035307
           0.0374806,            0.0353076
           0.0330132,            0.0353082
           0.0290186,            0.0353088
           0.0255171,            0.0353094
           0.0224835,            0.0353101
           0.0198714,            0.0353107
           0.0176279,            0.0353113
           0.0157008,            0.0353119
           0.0140426,            0.0353125
           0.0126118,            0.0353131
           0.0113731,            0.0353137
           0.0102965,            0.0353143
          0.00935707,            0.0353149
          0.00853398,            0.0353156
          0.00780989,            0.0353162
          0.00717034,            0.0353168
          0.00660326,            0.0353174
          0.00609856,             0.035318
          0.00564774,            0.0353186
          0.00488029,            0.0353198
          0.00425586,             0.035321
          0.00374177,            0.0353223
          0.00331396,            0.0353235
          0.00295447,            0.0353247
          0.00264972,            0.0353259
          0.00238926,            0.0353271
          0.00216501,            0.0353284
          0.00197063,            0.0353296
           0.0018011,            0.0353308
          0.00165238,             0.035332
          0.00152123,            0.0353333
          0.00140501,            0.0353345
          0.00130155,            0.0353357
          0.00120906,            0.0353369
          0.00105128,            0.0353394
         0.000922399,            0.0353418
         0.000815799,            0.0353442
         0.000726639,            0.0353467
         0.000651323,            0.0353491
         0.000587134,            0.0353516
         0.000531987,             0.035354
         0.000484264,            0.0353564
         0.000442692,            0.0353589
         0.000406259,            0.0353613
         0.000374152,            0.0353638
         0.000345713,            0.0353662
         0.000320405,            0.0353687
         0.000297784,            0.0353711
         0.000259196,             0.035376
         0.000227672,            0.0353809
         0.000201587,            0.0353857
         0.000179758,            0.0353906
         0.000161307,            0.0353955
          0.00014557,            0.0354004
         0.000132041,            0.0354053
         0.000120324,            0.0354102
         0.000110109,             0.035415
          0.00010115,            0.0354199
         9.32489e-05,            0.0354248
         8.62451e-05,            0.0354297
         8.00076e-05,            0.0354346
         7.44284e-05,            0.0354395
         6.49011e-05,            0.0354492
          5.7107e-05,             0.035459
         5.06491e-05,            0.0354687
         4.52379e-05,            0.0354785
         4.06585e-05,            0.0354883
         3.67484e-05,             0.035498
         3.33829e-05,            0.0355078
          3.0465e-05,            0.0355176
         2.79187e-05,            0.0355273
         2.56831e-05,            0.0355371
         2.37096e-05,            0.0355469
         2.19586e-05,            0.0355566
         2.03977e-05,            0.0355664
