------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         4.33001e-15,                0.005
         5.34326e-15,             0.005625
         6.51496e-15,              0.00625
         7.86752e-15,             0.006875
         9.42647e-15,               0.0075
         1.12208e-14,             0.008125
         1.32837e-14,              0.00875
         1.56527e-14,             0.009375
         1.83708e-14,                 0.01
         2.14867e-14,             0.010625
         2.50562e-14,              0.01125
         2.91427e-14,             0.011875
         3.38185e-14,               0.0125
         3.91662e-14,             0.013125
         4.52799e-14,              0.01375
         5.22672e-14,             0.014375
         6.02506e-14,                0.015
         6.93705e-14,             0.015625
          7.9787e-14,              0.01625
         9.16835e-14,             0.016875
          1.0527e-13,               0.0175
         1.20785e-13,             0.018125
         1.38506e-13,              0.01875
         1.58746e-13,             0.019375
         1.81867e-13,                 0.02
         2.08284e-13,             0.020625
         2.38473e-13,              0.02125
         2.72981e-13,             0.021875
         3.12438e-13,               0.0225
         3.57568e-13,             0.023125
         4.09206e-13,              0.02375
         4.68313e-13,             0.024375
            5.36e-13,                0.025
         6.13547e-13,             0.025625
         7.02436e-13,              0.02625
         8.04381e-13,             0.026875
         9.21366e-13,               0.0275
         1.05569e-12,             0.028125
         1.21003e-12,              0.02875
         1.38748e-12,             0.029375
         1.59165e-12,                 0.03
         1.82674e-12,             0.030625
         2.09766e-12,              0.03125
         2.41011e-12,             0.031875
         2.77079e-12,               0.0325
         3.18752e-12,             0.033125
         3.66946e-12,              0.03375
         4.22739e-12,             0.034375
         4.87396e-12,                0.035
         5.62407e-12,             0.035625
         6.49531e-12,              0.03625
         7.50844e-12,             0.036875
         8.68804e-12,               0.0375
         1.00633e-11,             0.038125
         1.16687e-11,              0.03875
         1.35457e-11,             0.039375
         1.57433e-11,                 0.04
         1.83204e-11,             0.040625
         2.13474e-11,              0.04125
         2.49088e-11,             0.041875
         2.91068e-11,               0.0425
         3.40641e-11,             0.043125
         3.99297e-11,              0.04375
         4.68845e-11,             0.044375
         5.51485e-11,                0.045
         6.49906e-11,             0.045625
         7.67404e-11,              0.04625
         9.08032e-11,             0.046875
         1.07679e-10,               0.0475
         1.27989e-10,             0.048125
         1.52504e-10,              0.04875
         1.82189e-10,             0.049375
         2.18255e-10,                 0.05
         2.62232e-10,             0.050625
         2.87774e-10,            0.0509375
          3.1606e-10,              0.05125
         3.47417e-10,            0.0515625
         3.82215e-10,             0.051875
         4.20875e-10,            0.0521875
         4.63875e-10,               0.0525
          5.1176e-10,            0.0528125
          5.6515e-10,             0.053125
         6.24755e-10,            0.0534375
         6.91388e-10,              0.05375
         7.65979e-10,            0.0540625
         8.49602e-10,             0.054375
         9.43491e-10,            0.0546875
         1.04907e-09,                0.055
         1.16799e-09,            0.0553125
         1.30218e-09,             0.055625
         1.45385e-09,            0.0559375
         1.62561e-09,              0.05625
          1.8205e-09,            0.0565625
         2.04211e-09,             0.056875
         2.29463e-09,            0.0571875
         2.58304e-09,               0.0575
         2.91324e-09,            0.0578125
         3.29225e-09,             0.058125
         3.72845e-09,            0.0584375
         4.23193e-09,              0.05875
          4.8148e-09,            0.0590625
         5.49179e-09,             0.059375
         6.28079e-09,            0.0596875
         7.20373e-09,                 0.06
         8.28761e-09,            0.0603125
         9.56589e-09,             0.060625
         1.10803e-08,            0.0609375
         1.28834e-08,              0.06125
         1.50416e-08,            0.0615625
         1.76398e-08,             0.061875
         2.07878e-08,            0.0621875
