------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         1.36013e-12,                0.005
         1.71733e-12,             0.005625
         2.14306e-12,              0.00625
         2.64948e-12,             0.006875
         3.25087e-12,               0.0075
         3.96399e-12,             0.008125
         4.80857e-12,              0.00875
         5.80779e-12,             0.009375
         6.98894e-12,                 0.01
         8.38413e-12,             0.010625
         1.00312e-11,              0.01125
         1.19747e-11,             0.011875
         1.42671e-11,               0.0125
         1.69706e-11,             0.013125
         2.01583e-11,              0.01375
         2.39167e-11,             0.014375
         2.83481e-11,                0.015
         3.35737e-11,             0.015625
         3.97367e-11,              0.01625
         4.70073e-11,             0.016875
         5.55873e-11,               0.0175
         6.57163e-11,             0.018125
         7.76794e-11,              0.01875
          9.1816e-11,             0.019375
          1.0853e-10,                 0.02
         1.28305e-10,             0.020625
         1.51716e-10,              0.02125
         1.79453e-10,             0.021875
         2.12341e-10,               0.0225
          2.5137e-10,             0.023125
         2.97729e-10,              0.02375
         3.52848e-10,             0.024375
         4.18448e-10,                0.025
         4.96606e-10,             0.025625
         5.89833e-10,              0.02625
         7.01163e-10,             0.026875
          8.3428e-10,               0.0275
         9.93654e-10,             0.028125
         1.18473e-09,              0.02875
         1.41412e-09,             0.029375
         1.68995e-09,                 0.03
         2.02212e-09,             0.030625
         2.42279e-09,              0.03125
         2.90691e-09,             0.031875
         3.49289e-09,               0.0325
         4.20347e-09,             0.033125
         5.06682e-09,              0.03375
         6.11786e-09,             0.034375
          7.4001e-09,                0.035
         8.96781e-09,             0.035625
          9.8793e-09,            0.0359375
         1.08889e-08,              0.03625
         1.20078e-08,            0.0365625
         1.32486e-08,             0.036875
         1.46255e-08,            0.0371875
         1.61543e-08,               0.0375
         1.78529e-08,            0.0378125
         1.97416e-08,             0.038125
         2.18428e-08,            0.0384375
         2.41823e-08,              0.03875
         2.67889e-08,            0.0390625
         2.96951e-08,             0.039375
         3.29379e-08,            0.0396875
         3.65591e-08,                 0.04
         4.06059e-08,            0.0403125
          4.5132e-08,             0.040625
         5.01983e-08,            0.0409375
         5.58741e-08,              0.04125
         6.22381e-08,            0.0415625
         6.93802e-08,             0.041875
         7.74026e-08,            0.0421875
         8.64223e-08,               0.0425
         9.65729e-08,            0.0428125
         1.08007e-07,             0.043125
         1.20901e-07,            0.0434375
         1.35454e-07,              0.04375
