------------------------------------------------------------
 Transmission Coefficient on refined energy grid using transfer matrices
------------------------------------------------------------
Transmission Coefficient, Energy (eV)
         4.26106e-08,                0.005
         5.67601e-08,              0.00625
         7.26118e-08,               0.0075
         9.03453e-08,              0.00875
         1.10159e-07,                 0.01
         1.32274e-07,              0.01125
         1.56932e-07,               0.0125
         1.84402e-07,              0.01375
         2.14981e-07,                0.015
            2.49e-07,              0.01625
         2.86823e-07,               0.0175
         3.28854e-07,              0.01875
         3.75543e-07,                 0.02
         4.27388e-07,              0.02125
          4.8494e-07,               0.0225
         5.48814e-07,              0.02375
         6.19691e-07,                0.025
         6.98332e-07,              0.02625
         7.85579e-07,               0.0275
         8.82374e-07,              0.02875
         9.89763e-07,                 0.03
         1.10892e-06,              0.03125
         1.24114e-06,               0.0325
         1.38788e-06,              0.03375
         1.55077e-06,                0.035
         1.73164e-06,              0.03625
         1.93251e-06,               0.0375
         2.15568e-06,              0.03875
         2.40371e-06,                 0.04
         2.67947e-06,              0.04125
         2.98619e-06,               0.0425
         3.32752e-06,              0.04375
         3.70754e-06,                0.045
         4.13088e-06,              0.04625
         4.60274e-06,               0.0475
         5.12901e-06,              0.04875
         5.71635e-06,                 0.05
          6.3723e-06,              0.05125
         7.10543e-06,               0.0525
         7.92544e-06,              0.05375
         8.84339e-06,                0.055
         9.87187e-06,              0.05625
         1.10252e-05,               0.0575
         1.23199e-05,              0.05875
         1.37745e-05,                 0.06
         1.54107e-05,              0.06125
         1.72532e-05,               0.0625
         1.93303e-05,              0.06375
         2.16748e-05,                0.065
         2.43244e-05,              0.06625
         2.73229e-05,               0.0675
          3.0721e-05,              0.06875
         3.45775e-05,                 0.07
         3.89611e-05,              0.07125
         4.39517e-05,               0.0725
         4.96432e-05,              0.07375
         5.61456e-05,                0.075
         6.35881e-05,              0.07625
         7.21236e-05,               0.0775
         8.19329e-05,              0.07875
         9.32305e-05,                 0.08
         0.000106272,              0.08125
         0.000121364,               0.0825
         0.000138872,              0.08375
         0.000159239,                0.085
         0.000183001,              0.08625
         0.000210805,               0.0875
         0.000243447,              0.08875
           0.0002819,                 0.09
         0.000327363,              0.09125
         0.000381327,               0.0925
         0.000445648,              0.09375
          0.00052266,                0.095
         0.000615313,              0.09625
         0.000727367,               0.0975
         0.000863649,              0.09875
          0.00103041,                  0.1
          0.00112769,             0.100625
          0.00123584,              0.10125
          0.00135631,             0.101875
          0.00149075,               0.1025
           0.0016411,             0.103125
          0.00180959,              0.10375
          0.00199885,             0.104375
          0.00221194,                0.105
          0.00245245,             0.105625
          0.00272464,              0.10625
          0.00303354,             0.106875
          0.00338513,               0.1075
          0.00378659,             0.108125
          0.00424651,              0.10875
          0.00477528,             0.109375
          0.00538553,                 0.11
          0.00609266,             0.110625
          0.00691564,              0.11125
          0.00787792,             0.111875
          0.00900876,               0.1125
           0.0103449,             0.113125
           0.0119331,              0.11375
           0.0138327,             0.114375
           0.0161209,                0.115
           0.0188982,             0.115625
           0.0222974,              0.11625
           0.0242834,             0.116563
           0.0264959,             0.116875
            0.028967,             0.117188
           0.0317345,               0.1175
           0.0348427,             0.117813
           0.0383442,             0.118125
            0.042301,             0.118438
           0.0467874,              0.11875
           0.0518919,             0.119063
            0.057721,             0.119375
           0.0644034,             0.119688
           0.0720946,                 0.12
           0.0809842,             0.120313
           0.0913038,             0.120625
            0.103337,             0.120938
            0.117433,              0.12125
            0.134021,             0.121562
            0.153628,             0.121875
            0.176904,             0.122188
            0.204635,               0.1225
            0.237768,             0.122812
             0.27741,             0.123125
            0.324799,             0.123438
            0.381208,              0.12375
            0.447729,             0.124062
            0.524861,             0.124375
            0.611848,             0.124688
            0.705767,                0.125
             0.80066,             0.125312
            0.887343,             0.125625
            0.954766,             0.125937
            0.993164,              0.12625
